route_id,direction_label,stop_code,stop_name,stop_sequence
71,South,nmda,pawtucket & dartmouth,8
71,South,jlnm,job lot (ann mary st. - pawtucket),9
71,South,slmi,slater mill (main & roosevelt),10
72,Inbound,slmi,slater mill (main & roosevelt),1
72,Inbound,deba,dexter & barton,2
72,Inbound,dewh,dexter & west hunt,3
72,Inbound,welo,weeden & lonsdale,4
72,Inbound,poan,power & anderton,5
72,Inbound,sfpo,smithfield & power,6
72,Inbound,walp,walmart (providence),7
72,Inbound,adch,admiral & charles,8
72,Inbound,psta,providence station,9
72,Inbound,kepl,kennedy plaza - providence,10
72,Outbound,kepl,kennedy plaza - providence,1
72,Outbound,psta,providence station,2
72,Outbound,adch,admiral & charles,3
72,Outbound,walp,walmart (providence),4
72,Outbound,sfpo,smithfield & power,5
72,Outbound,poan,power & anderton,6
72,Outbound,welo,weeden & lonsdale,7
72,Outbound,dewh,dexter & west hunt,8
72,Outbound,deba,dexter & barton,9
72,Outbound,slmi,slater mill (main & roosevelt),10
73,Inbound,ccri,c.c.r.i. lincoln campus,1
73,Inbound,lipa,twin river casino,2
73,Inbound,msch,mineral spring & charles,3
73,Inbound,loms,lonsdale & mineral spring,4
73,Inbound,slmi,slater mill (main & roosevelt),5
73,Outbound,slmi,slater mill (main & roosevelt),1
73,Outbound,loms,lonsdale & mineral spring,2
73,Outbound,msch,mineral spring & charles,3
73,Outbound,lipa,twin river casino,4
73,Outbound,ccri,c.c.r.i. lincoln campus,5
75,Inbound,noce,north central industrial park,1
75,Inbound,lima,lincoln mall,2
75,Inbound,amic,amica insurance (corporate office),3
75,Inbound,asht,ashton (rtes. 116 & 122),4
75,Inbound,menb,mendon & broad,5
75,Inbound,lode,lonsdale & dexter,6
75,Inbound,deba,dexter & barton,7
75,Inbound,maro,pawtucket transit ctr (main & roosevelt),8
75,Outbound,maro,pawtucket transit ctr (main & roosevelt),1
75,Outbound,deba,dexter & barton,2
75,Outbound,lode,lonsdale & dexter,3
75,Outbound,menb,mendon & broad,4
75,Outbound,asht,ashton (rtes. 116 & 122),5
75,Outbound,amic,amica insurance (corporate office),6
75,Outbound,lima,lincoln mall,7
75,Outbound,noce,north central industrial park,8
76,Inbound,beth,benefit & thurber,1
76,Inbound,nece,newport & central,2
76,Inbound,stcs,stop&shop (cottage st. - pawtucket),3
76,Inbound,argb,armistice & george bennett,4
76,Inbound,maro,pawtucket transit ctr (main & roosevelt),5
76,Outbound,maro,pawtucket transit ctr (main & roosevelt),1
76,Outbound,argb,armistice & george bennett,2
76,Outbound,stcs,stop&shop (cottage st. - pawtucket),3
76,Outbound,nece,newport & central,4
76,Outbound,beth,benefit & thurber,5
